sample,node,distance,label,distance_raw
3001,node3,0.9842603803147926,0,278.66
3002,node3,0.9857916102841676,0,279.09
3003,node3,0.9842247703155046,0,278.65
3004,node3,0.9887472402250552,0,279.92
3005,node3,0.987180400256392,0,279.48
3006,node3,0.9840467203190656,0,278.6
3007,node3,0.9872516202549676,0,279.5
3008,node3,0.0528452389430952,1,17.1
3009,node3,0.0528452389430952,1,17.1
3010,node3,0.0494622890107542,1,16.15
3011,node3,0.0539847589203048,1,17.42
3012,node3,0.9856491702870168,0,279.05
3013,node3,0.0953635780927284,1,29.04
3014,node3,0.0875293782494124,1,26.84
3015,node3,0.123566697528666,1,36.96
3016,node3,0.1101773377964532,1,33.2
3017,node3,0.1009187379816252,1,30.6
3018,node3,0.081190798376184,1,25.06
3019,node3,0.063563848728723,1,20.11
3020,node3,0.0803361583932768,1,24.82
3021,node3,0.0681219286375614,1,21.39
3022,node3,0.0837903283241934,1,25.79
3023,node3,0.0951143080977138,1,28.97
3024,node3,0.0946157681076846,1,28.83
3025,node3,0.120361797592764,1,36.06
3026,node3,0.115554447688911,1,34.71
3027,node3,0.0928708781425824,1,28.34
3028,node3,0.1350687272986254,1,40.19
3029,node3,0.0784488284310234,1,24.29
3030,node3,0.090983548180329,1,27.81
3031,node3,0.0999928780001424,1,30.34
3032,node3,0.1113168577736628,1,33.52
3033,node3,0.0895235382095292,1,27.4
3034,node3,0.0561925788761484,1,18.04
3035,node3,0.111103197777936,1,33.46
3036,node3,0.0631009187379816,1,19.98
3037,node3,0.1043729079125418,1,31.57
3038,node3,0.0838971583220568,1,25.82
3039,node3,0.0471476390570472,1,15.5
3040,node3,0.0921586781568264,1,28.14
3041,node3,0.109144647817107,1,32.91
3042,node3,0.0756000284879994,1,23.49
3043,node3,0.0706502385869952,1,22.1
3044,node3,0.0705434085891318,1,22.07
3045,node3,0.1564347268713054,1,46.19
3046,node3,0.1672601666547966,1,49.23
3047,node3,0.1222135175557296,1,36.58
3048,node3,0.1094651378106972,1,33.0
3049,node3,0.109500747809985,1,33.01
3050,node3,0.1054412078911758,1,31.87
3051,node3,0.1886261662274767,1,55.23
3052,node3,0.0459012890819742,1,15.15
3053,node3,0.0147069297058614,0,6.39
3054,node3,0.0606794387864112,1,19.3
3055,node3,0.1306530873869382,1,38.95
3056,node3,0.1618118367637633,1,47.7
3057,node3,0.1423687771526244,1,42.24
3058,node3,0.1793675664126487,1,52.63
3059,node3,0.1806495263870094,1,52.99
