sample,node,distance,label
291,node1,29.89,1
292,node1,36.67,1
293,node1,30.41,1
294,node1,29.63,1
295,node1,19.7,1
296,node1,19.7,1
297,node1,22.29,1
298,node1,23.78,1
299,node1,23.2,1
300,node1,21.0,1
301,node1,22.9,1
302,node1,26.13,1
303,node1,21.32,1
304,node1,23.19,1
305,node1,22.3,1
306,node1,21.64,1
307,node1,16.47,1
308,node1,18.73,1
309,node1,24.96,1
310,node1,27.9,1
311,node1,27.61,1
312,node1,29.36,1
313,node1,30.4,1
314,node1,26.13,1
315,node1,26.13,1
316,node1,26.71,1
317,node1,22.29,1
318,node1,23.48,1
319,node1,22.3,1
320,node1,24.38,1
321,node1,25.84,1
322,node1,22.9,1
323,node1,26.13,1
324,node1,21.64,1
325,node1,22.29,1
326,node1,25.26,1
327,node1,22.61,1
328,node1,22.3,1
329,node1,23.2,1
330,node1,21.96,1
331,node1,23.49,1
332,node1,23.49,1
333,node1,23.49,1
334,node1,24.96,1
335,node1,21.0,1
336,node1,28.17,1
337,node1,24.67,1
338,node1,29.92,1
339,node1,43.72,0
340,node1,39.27,1
341,node1,29.39,1
342,node1,28.51,1
343,node1,23.8,1
344,node1,21.98,1
345,node1,17.12,1
346,node1,15.49,1
347,node1,29.39,1
348,node1,35.72,1
349,node1,23.8,1
350,node1,24.68,1
351,node1,25.86,1
352,node1,23.51,1
353,node1,25.86,1
354,node1,30.17,1
355,node1,25.86,1
356,node1,25.57,1
357,node1,24.97,1
358,node1,25.55,1
359,node1,25.55,1
360,node1,24.68,1
361,node1,28.51,1
362,node1,29.65,1
363,node1,30.97,1
364,node1,29.65,1
365,node1,24.99,1
366,node1,23.22,1
367,node1,22.63,1
368,node1,29.39,1
369,node1,37.64,1
370,node1,22.3,1
371,node1,21.66,1
372,node1,22.3,1
373,node1,22.0,1
374,node1,22.92,1
375,node1,22.63,1
376,node1,26.16,1
377,node1,23.22,1
378,node1,22.93,1
379,node1,30.7,1
380,node1,31.25,1
381,node1,50.32,0
382,node1,36.94,1
383,node1,53.75,0
384,node1,43.23,0
385,node1,29.39,1
386,node1,29.65,1
387,node1,50.13,0
388,node1,30.43,1
389,node1,37.18,1
390,node1,45.05,0
391,node1,26.45,1
392,node1,29.92,1
393,node1,29.92,1
394,node1,27.32,1
395,node1,28.2,1
396,node1,27.05,1
397,node1,27.62,1
398,node1,39.03,1
399,node1,28.8,1
400,node1,27.32,1
401,node1,27.62,1
402,node1,30.17,1
403,node1,29.63,1
404,node1,27.05,1
405,node1,27.34,1
406,node1,30.96,1
407,node1,29.39,1
408,node1,29.65,1
409,node1,30.7,1
410,node1,25.57,1
411,node1,24.99,1
412,node1,24.11,1
413,node1,28.2,1
414,node1,30.45,1
415,node1,30.17,1
416,node1,26.16,1
417,node1,24.68,1
418,node1,25.57,1
419,node1,30.12,1
420,node1,38.05,1
421,node1,29.39,1
422,node1,16.15,1
423,node1,42.96,0
424,node1,14.45,0
425,node1,6.46,0
426,node1,30.45,1
427,node1,29.65,1
428,node1,32.01,1
429,node1,35.68,1
430,node1,30.94,1
431,node1,36.21,1
432,node1,23.22,1
433,node1,37.64,1
434,node1,27.62,1
435,node1,23.8,1
436,node1,36.92,1
437,node1,24.09,1
438,node1,29.36,1
439,node1,27.03,1
440,node1,50.46,0
441,node1,25.86,1
442,node1,27.32,1
443,node1,28.2,1
444,node1,24.38,1
445,node1,29.65,1
446,node1,26.15,1
447,node1,38.54,1
448,node1,25.26,1
449,node1,24.68,1
450,node1,24.68,1
451,node1,50.13,0
452,node1,29.92,1
453,node1,29.65,1
454,node1,36.94,1
455,node1,36.48,1
456,node1,36.47,1
457,node1,36.94,1
458,node1,36.7,1
459,node1,30.45,1
460,node1,36.48,1
461,node1,29.65,1
462,node1,27.05,1
463,node1,25.58,1
464,node1,27.62,1
465,node1,27.34,1
466,node1,50.47,0
467,node1,29.39,1
468,node1,29.92,1
469,node1,29.9,1
470,node1,29.36,1
471,node1,43.44,0
472,node1,29.63,1
473,node1,29.9,1
474,node1,38.1,1
475,node1,32.54,1
476,node1,30.43,1
477,node1,30.43,1
478,node1,30.17,1
479,node1,44.25,0
480,node1,46.68,0
481,node1,49.52,0
482,node1,44.85,0
483,node1,47.07,0
484,node1,50.29,0
485,node1,47.48,0
486,node1,48.31,0
487,node1,30.17,1
488,node1,23.51,1
489,node1,29.39,1
490,node1,28.22,1
491,node1,29.92,1
492,node1,26.45,1
493,node1,27.34,1
494,node1,29.39,1
495,node1,27.62,1
496,node1,39.97,1
497,node1,36.92,1
498,node1,28.22,1
499,node1,25.57,1
500,node1,27.91,1
501,node1,29.65,1
502,node1,29.39,1
503,node1,27.05,1
504,node1,28.22,1
505,node1,28.22,1
506,node1,29.1,1
507,node1,26.45,1
508,node1,27.62,1
509,node1,44.86,0
510,node1,36.24,1
511,node1,36.7,1
512,node1,36.7,1
513,node1,29.1,1
514,node1,26.45,1
515,node1,30.45,1
516,node1,24.7,1
517,node1,28.82,1
518,node1,36.23,1
519,node1,40.66,0
520,node1,47.31,0
521,node1,26.16,1
522,node1,28.8,1
523,node1,30.17,1
524,node1,28.8,1
525,node1,8.07,0
526,node1,6.78,0
527,node1,3.28,0
528,node1,2.31,0
529,node1,3.91,0
530,node1,4.86,0
531,node1,3.91,0
532,node1,41.6,0
533,node1,36.94,1
534,node1,50.3,0
535,node1,30.45,1
536,node1,36.24,1
537,node1,29.1,1
538,node1,29.39,1
539,node1,43.84,0
540,node1,26.15,1
541,node1,24.99,1
542,node1,23.53,1
543,node1,25.28,1
544,node1,27.05,1
545,node1,25.87,1
546,node1,29.65,1
547,node1,37.16,1
548,node1,37.64,1
549,node1,28.22,1
550,node1,28.22,1
551,node1,27.34,1
552,node1,25.57,1
553,node1,31.76,1
554,node1,27.34,1
555,node1,29.92,1
556,node1,27.62,1
557,node1,26.76,1
558,node1,29.1,1
559,node1,27.93,1
560,node1,27.93,1
561,node1,28.22,1
562,node1,29.67,1
563,node1,31.25,1
564,node1,30.45,1
565,node1,30.45,1
566,node1,42.33,0
567,node1,28.53,1
568,node1,34.92,1
569,node1,25.57,1
570,node1,31.23,1
571,node1,35.46,1
572,node1,27.05,1
573,node1,30.17,1
574,node1,34.94,1
575,node1,27.62,1
576,node1,19.72,1
577,node1,24.4,1
578,node1,29.39,1
579,node1,21.01,1
580,node1,29.92,1
581,node1,27.34,1
582,node1,24.4,1
583,node1,22.64,1
584,node1,23.51,1
585,node1,22.63,1
586,node1,31.77,1
587,node1,25.28,1
588,node1,36.48,1
589,node1,24.68,1
590,node1,28.22,1
591,node1,31.23,1
592,node1,22.63,1
593,node1,23.8,1
594,node1,31.25,1
595,node1,21.01,1
596,node1,21.35,1
597,node1,28.8,1
598,node1,21.01,1
599,node1,22.63,1
600,node1,27.93,1
601,node1,29.92,1
602,node1,23.51,1
603,node1,29.9,1
604,node1,29.92,1
605,node1,22.63,1
606,node1,32.03,1
607,node1,23.22,1
608,node1,28.51,1
609,node1,27.62,1
610,node1,25.87,1
611,node1,22.63,1
612,node1,23.82,1
613,node1,23.22,1
614,node1,22.92,1
615,node1,36.47,1
616,node1,22.63,1
617,node1,21.01,1
618,node1,23.22,1
619,node1,22.32,1
620,node1,30.45,1
621,node1,26.76,1
622,node1,24.41,1
623,node1,26.16,1
624,node1,25.28,1
625,node1,29.92,1
626,node1,24.4,1
627,node1,25.58,1
628,node1,25.57,1
629,node1,21.66,1
630,node1,22.0,1
631,node1,25.58,1
632,node1,30.97,1
633,node1,29.67,1
634,node1,36.48,1
635,node1,29.92,1
636,node1,21.01,1
637,node1,17.12,1
638,node1,29.39,1
639,node1,43.01,0
640,node1,32.03,1
641,node1,6.46,0
642,node1,10.76,0
643,node1,10.1,0
644,node1,10.42,0
645,node1,9.42,0
646,node1,10.76,0
647,node1,10.76,0
648,node1,10.76,0
649,node1,12.1,0
650,node1,11.44,0
651,node1,12.44,0
652,node1,30.7,1
653,node1,16.8,1
654,node1,36.23,1
655,node1,9.08,0
