sample,node,distance,label,distance_raw
1,node1,0.04118869374626399,1,16.78
2,node1,1.0,0,353.62
3,node1,0.0036435057356750443,0,3.59
4,node1,0.438216959380604,0,156.26
5,node1,0.34024081295721725,0,121.84
6,node1,0.24237852608807034,0,87.46
7,node1,0.1560160541971478,0,57.12
8,node1,0.24109760610287212,0,87.01
9,node1,0.6341977171159375,0,225.11
10,node1,0.19592382795821353,0,71.14
11,node1,0.021149412200051235,0,9.74
12,node1,0.01927072955509379,0,9.08
13,node1,0.24306168341350945,0,87.7
14,node1,0.0036435057356750443,0,3.59
15,node1,0.07036520452022431,1,27.03
16,node1,0.044946059036178876,1,18.1
17,node1,0.0815519057242891,1,30.96
18,node1,0.6269391705331474,0,222.56
19,node1,0.7674703253536762,0,271.93
20,node1,0.7618627423073638,0,269.96
21,node1,0.7690358942244742,0,272.48
22,node1,0.6298425891662635,0,223.58
23,node1,0.06615240101335004,1,25.55
24,node1,0.0036435057356750443,0,3.59
25,node1,0.0163957758105377,0,8.07
26,node1,0.09723605932082775,1,36.47
27,node1,0.008169423016708888,0,5.18
28,node1,0.002761094190316244,0,3.28
29,node1,0.0036435057356750443,0,3.59
30,node1,0.7826705758446955,0,277.27
31,node1,0.0670632774472688,1,25.87
32,node1,0.05869460021064018,1,22.93
33,node1,0.049557370982892604,1,19.72
34,node1,0.05869460021064018,1,22.93
35,node1,0.04124562352338391,1,16.8
36,node1,0.05784065355384134,1,22.63
37,node1,0.04312430616834135,1,17.46
38,node1,0.0861062878938829,1,32.56
39,node1,0.06117104551535681,1,23.8
40,node1,0.04124562352338391,1,16.8
41,node1,0.03751672312202898,1,15.49
42,node1,0.03751672312202898,1,15.49
43,node1,0.03745979334490906,1,15.47
44,node1,0.058666135322080225,1,22.92
45,node1,0.1561014488628277,0,57.15
46,node1,0.1005095215052233,1,37.62
47,node1,0.09863083886026586,1,36.96
48,node1,0.09658136688394865,1,36.24
49,node1,0.08308900970652701,1,31.5
50,node1,0.781645839856537,0,276.91
51,node1,0.7827559705103755,0,277.3
52,node1,0.09658136688394865,1,36.24
53,node1,0.7827559705103755,0,277.3
54,node1,0.7802510603170989,0,276.42
55,node1,0.7814750505251773,0,276.85
56,node1,0.7828129002874954,0,277.32
57,node1,0.7839230309413338,0,277.71
58,node1,0.7815035154137372,0,276.86
59,node1,0.7827275056218156,0,277.29
60,node1,0.7814750505251773,0,276.85
61,node1,0.7838945660527739,0,277.7
62,node1,0.06871424098374655,1,26.45
63,node1,0.07457800802709859,1,28.51
64,node1,0.07546041957245737,1,28.82
65,node1,0.07787993510005409,1,29.67
66,node1,0.07859155731405312,1,29.92
67,node1,0.06373288548575333,1,24.7
68,node1,0.07787993510005409,1,29.67
69,node1,0.06367595570863341,1,24.68
70,node1,0.06538384902223109,1,25.28
71,node1,0.049557370982892604,1,19.72
72,node1,0.05952008197887905,1,23.22
73,node1,0.08832654920155988,1,33.34
74,node1,0.020238535766132475,0,9.42
75,node1,0.005465258603512569,0,4.23
76,node1,0.0018502177563974834,0,2.96
77,node1,0.06953972275198543,1,26.74
78,node1,0.09364948336227263,1,35.21
79,node1,0.08012866129629104,1,30.46
80,node1,0.09512965756739061,1,35.73
81,node1,0.09137229227747572,1,34.41
82,node1,0.08237738749252797,1,31.25
83,node1,0.09436110557627167,1,35.46
84,node1,0.07782300532293417,1,29.65
85,node1,0.07705445333181521,1,29.38
86,node1,0.0898636531837978,1,33.88
87,node1,0.08081181862173009,1,30.7
88,node1,0.05231846517320885,1,20.69
89,node1,0.049557370982892604,1,19.72
90,node1,0.09658136688394865,1,36.24
91,node1,0.05510802425208506,1,21.67
92,node1,0.09857390908314592,1,36.94
93,node1,0.10056645128234322,1,37.64
94,node1,0.07210156272238194,1,27.64
95,node1,0.08530927101420399,1,32.28
96,node1,0.07546041957245737,1,28.82
97,node1,0.09658136688394865,1,36.24
98,node1,0.06373288548575333,1,24.7
99,node1,0.0853662007913239,1,32.3
100,node1,0.05322934160712762,1,21.01
101,node1,0.08086874839885001,1,30.72
102,node1,0.08687483988500184,1,32.83
103,node1,0.07124761606558311,1,27.34
104,node1,0.083829096809086,1,31.76
105,node1,0.08459764880020496,1,32.03
106,node1,0.0230850246221286,0,10.42
107,node1,0.07859155731405312,1,29.92
108,node1,0.08158037061284905,1,30.97
109,node1,0.08086874839885001,1,30.72
110,node1,0.08232045771540805,1,31.23
111,node1,0.07457800802709859,1,28.51
112,node1,0.1098460049528906,0,40.9
113,node1,0.10187583615610145,1,38.1
114,node1,0.08385756169764595,1,31.77
115,node1,0.07782300532293417,1,29.65
116,node1,0.09857390908314592,1,36.94
117,node1,0.10520622811761692,1,39.27
118,node1,0.07124761606558311,1,27.34
119,node1,0.09723605932082775,1,36.47
120,node1,0.07369559648173978,1,28.2
121,node1,0.0762574364521363,1,29.1
122,node1,0.09658136688394865,1,36.24
123,node1,0.07708291822037518,1,29.39
124,node1,0.0737525262588597,1,28.22
125,node1,0.07042213429734423,1,27.05
126,node1,0.09723605932082775,1,36.47
127,node1,0.07204463294526202,1,27.62
128,node1,0.13714383308189348,0,50.49
129,node1,0.09794768153482677,1,36.72
130,node1,0.09789075175770687,1,36.7
131,node1,0.09353562380803279,1,35.17
132,node1,0.10056645128234322,1,37.64
133,node1,0.09857390908314592,1,36.94
134,node1,0.07708291822037518,1,29.39
135,node1,0.09208391449147475,1,34.66
136,node1,0.09060374028635679,1,34.14
137,node1,0.06367595570863341,1,24.68
138,node1,0.0853662007913239,1,32.3
139,node1,0.07782300532293417,1,29.65
140,node1,0.07124761606558311,1,27.34
141,node1,0.09723605932082775,1,36.47
142,node1,0.08459764880020496,1,32.03
143,node1,0.09988329395690415,1,37.4
144,node1,0.1038968432438587,1,38.81
145,node1,0.09723605932082775,1,36.47
146,node1,0.09789075175770687,1,36.7
147,node1,0.09723605932082775,1,36.47
148,node1,0.05322934160712762,1,21.01
149,node1,0.05043978252825141,1,20.03
150,node1,0.05411175315248641,1,21.32
151,node1,0.023995901056047365,0,10.74
152,node1,0.05320087671856765,1,21.0
153,node1,0.06193959750647576,1,24.07
154,node1,0.05860920554496029,1,22.9
155,node1,0.07776607554581424,1,29.63
156,node1,0.06359056104295352,1,24.65
157,node1,0.06862884631806668,1,26.42
158,node1,0.06862884631806668,1,26.42
159,node1,0.06193959750647576,1,24.07
160,node1,0.06609547123623012,1,25.53
161,node1,0.06359056104295352,1,24.65
162,node1,0.05226153539608893,1,20.67
163,node1,0.0652984543565512,1,25.25
164,node1,0.09979789929122426,1,37.37
165,node1,0.06111411573823689,1,23.78
166,node1,0.06609547123623012,1,25.53
167,node1,0.05320087671856765,1,21.0
168,node1,0.05038285275113149,1,20.01
169,node1,0.07030827474310439,1,27.01
170,node1,0.06193959750647576,1,24.07
171,node1,0.06276507927471464,1,24.36
172,node1,0.05778372377672142,1,22.61
173,node1,0.05502262958640517,1,21.64
174,node1,0.06692095300446899,1,25.82
175,node1,0.07921778486237227,1,30.14
176,node1,0.04673934701545644,1,18.73
177,node1,0.03552418092283168,0,14.79
178,node1,0.05320087671856765,1,21.0
179,node1,0.06193959750647576,1,24.07
180,node1,0.06697788278158891,1,25.84
181,node1,0.06364749082007344,1,24.67
182,node1,0.06780336454982779,1,26.13
183,node1,0.05860920554496029,1,22.9
184,node1,0.10238820415018075,1,38.28
185,node1,0.09911474196578521,1,37.13
186,node1,0.7756112834818252,0,274.79
187,node1,0.0652984543565512,1,25.25
188,node1,0.06697788278158891,1,25.84
189,node1,0.09649597221826876,1,36.21
190,node1,0.07776607554581424,1,29.63
191,node1,0.09649597221826876,1,36.21
192,node1,0.06697788278158891,1,25.84
193,node1,0.05946315220175913,1,23.2
194,node1,0.07927471463949219,1,30.16
195,node1,0.07366713159317982,1,28.19
196,node1,0.07850616264837323,1,29.89
197,node1,0.06948279297486551,1,26.72
198,node1,0.06692095300446899,1,25.82
199,node1,0.06948279297486551,1,26.72
200,node1,0.06857191654094674,1,26.4
